province,type_property,subtype_property,price,state_of_property,heating_type,sun_exposure,livable_surface,epc_score,latitude,longitude,facades,bedrooms,bathrooms,toilets,terrace,garden,garage,swimming_pool,flooding_area_type,construction_year
brussels,house,residence,925000.0,to_be_renovated,fuel_oil,south_east,16.0,g,50.832327,4.4528542,3,5.0,2,3,1,1,0,0,(information_not_available),1936.0
brussels,apartment,studio,150000.0,to_renovate,electricity,not_specified,34.0,f,50.8512144,4.3742387,2,0.0,1,0,1,0,0,0,(information_not_available),1965.0
brussels,apartment,apartment,190000.0,to_be_renovated,not_specified,not_specified,50.0,g,50.8103165,4.3415279,2,1.0,1,1,1,0,0,0,no_flooding_area,
brussels,apartment,studio,155000.0,excellent,not_specified,not_specified,54.0,f,50.8,4.3333333,1,1.0,1,0,0,0,0,0,(information_not_available),1978.0
brussels,apartment,duplex,319000.0,to_renovate,gas,not_specified,15.0,g,50.8455239,4.3242407,2,3.0,1,2,1,0,0,0,(information_not_available),1944.0
brussels,house,mixed_building,625000.0,normal,gas,not_specified,21.0,e,50.8206834,4.4098093,2,4.0,2,3,1,1,0,0,(information_not_available),1915.0
brussels,apartment,apartment,329000.0,normal,gas,not_specified,15.0,e,50.8501828,4.4005491,2,2.0,1,1,1,0,1,0,no_flooding_area,1959.0
brussels,apartment,apartment,339000.0,excellent,gas,not_specified,29.0,not_specified,50.8427501,4.3515499,1,1.0,1,1,1,0,0,0,(information_not_available),1997.0
brussels,apartment,apartment,1080000.0,excellent,not_specified,not_specified,253.0,e,50.81896,4.38865,1,3.0,1,2,0,0,0,0,(information_not_available),
brussels,apartment,apartment,300000.0,normal,gas,not_specified,70.0,c,50.8135769,4.4140542,4,2.0,1,1,1,0,0,0,(information_not_available),1962.0
brussels,apartment,studio,185000.0,normal,not_specified,not_specified,38.0,not_specified,50.8227567,4.3672239,1,3.0,1,0,0,0,0,0,(information_not_available),
brussels,apartment,apartment,225000.0,normal,gas,not_specified,17.0,e,50.87113,4.30253,1,1.0,1,1,1,0,0,0,(information_not_available),1950.0
brussels,house,residence,350000.0,to_be_renovated,gas,not_specified,17.0,g,50.8,4.3166667,2,7.0,1,1,0,1,0,0,(information_not_available),1884.0
brussels,apartment,penthouse,420000.0,not_specified,gas,not_specified,92.0,c,50.8142177,4.3246279,1,2.0,2,2,1,0,0,0,no_flooding_area,2019.0
brussels,apartment,apartment,280000.0,not_specified,gas,not_specified,96.0,d,50.8420959,4.3102106,1,2.0,1,1,1,0,0,0,no_flooding_area,2009.0
brussels,apartment,apartment,200000.0,not_specified,gas,not_specified,76.0,e,50.8257354,4.2841726,1,2.0,1,1,0,0,0,0,no_flooding_area,1963.0
brussels,apartment,studio,210000.0,normal,gas,not_specified,46.0,f,50.830747,4.4033689,3,0.0,1,1,1,0,1,0,no_flooding_area,1975.0
brussels,house,villa,1100000.0,to_be_renovated,gas,not_specified,23.0,g,50.8,4.3333333,4,4.0,2,2,1,1,0,0,no_flooding_area,1905.0
brussels,house,villa,1290000.0,excellent,gas,not_specified,18.0,g,50.8,4.3333333,4,6.0,3,4,1,1,1,0,no_flooding_area,1927.0
brussels,house,residence,1995000.0,normal,gas,not_specified,30.0,g,50.7748717,4.3407539,4,5.0,2,4,1,1,1,1,no_flooding_area,1875.0
brussels,house,villa,1690000.0,to_be_renovated,fuel_oil,not_specified,15.0,not_specified,50.8,4.3333333,4,5.0,1,4,1,1,1,0,no_flooding_area,1910.0
